kernel,shape,triton_min_us,eager_min_us,compiled_min_us,triton_speedup_vs_eager,gap_to_compiled_pct
causal_conv1d,"B=1,D=1536,S=2048,W=4",27.86399982869625,74.73000138998032,86.95899695158005,2.6819552773976927,-67.957312290284
causal_conv1d,"B=1,D=2560,S=2048,W=4",33.998001366853714,89.76399898529053,104.03700172901154,2.640272821237244,-67.32124071067582
causal_conv1d,"B=1,D=2560,S=4096,W=4",43.699000030756,126.12800300121307,149.94099736213684,2.8862903707737555,-70.85586944228844
chunk_fwd_h,"B=1,T=64,H=1,K=64,V=64",28.063999488949776,105.68100214004517,45.26299983263016,3.765714226928245,-37.997924148371624
chunk_fwd_h,"B=2,T=512,H=3,K=64,V=64",41.41400009393692,757.4859857559204,239.38600718975067,18.2905776799575,-82.69990774309967
chunk_fwd_h,"B=2,T=1024,H=3,K=64,V=64",52.639998495578766,1466.460943222046,452.59198546409607,27.85830138929837,-88.36921549956287
chunk_fwd_o,"B=1,T=64,H=1,K=64,V=64",42.736999690532684,162.3300015926361,61.17900088429451,3.7983481004305566,-30.144332086495613
chunk_fwd_o,"B=2,T=512,H=3,K=64,V=64",41.012998670339584,208.7160050868988,130.5769979953766,5.089020843478126,-68.59094687427891
chunk_fwd_o,"B=2,T=1024,H=3,K=64,V=64",44.50099915266037,211.2009972333908,129.69599664211273,4.745983264530022,-65.68822453675432
recompute_w_u,"B=1,T=64,H=1,K=64,V=64",39.048999547958374,104.79799658060074,61.98100000619888,2.6837562496804086,-36.99843573989936
recompute_w_u,"B=2,T=512,H=3,K=64,V=64",44.461000710725784,146.49300277233124,110.89300364255905,3.294865172411453,-59.906396931913996
recompute_w_u,"B=2,T=1024,H=3,K=64,V=64",42.938001453876495,125.72599947452545,134.90700721740723,2.928082239914656,-68.17214884570048
