kernel,shape,mode,B,D_or_H,S_or_T,K,V,W,min_us,p50_us,mean_us,correct,max_abs_diff,error
causal_conv1d,"B=1, D=64, S=64, W=4, seed=4242",test,1,64,64,,,4,,,,true,9.53674e-07,
causal_conv1d,"B=2, D=128, S=128, W=4, seed=5236",test,2,128,128,,,4,,,,true,1.90735e-06,
causal_conv1d,"B=1, D=256, S=256, W=3, seed=1001",test,1,256,256,,,3,,,,true,9.53674e-07,
causal_conv1d,"B=1, D=128, S=64, W=8, seed=5531",test,1,128,64,,,8,,,,true,1.90735e-06,
causal_conv1d,"B=4, D=64, S=128, W=4, seed=9173",test,4,64,128,,,4,,,,true,9.53674e-07,
causal_conv1d,"B=1, D=1536, S=2048, W=4, seed=2146",bench,1,1536,2048,,,4,28.184,30.750,32.011,,,
causal_conv1d,"B=1, D=2560, S=2048, W=4, seed=3129",bench,1,2560,2048,,,4,33.797,34.078,34.734,,,
causal_conv1d,"B=1, D=2560, S=4096, W=4, seed=54352",bench,1,2560,4096,,,4,49.553,50.555,51.171,,,
chunk_fwd_h,"B=1, T=64, H=1, K=64, V=64, seed=4242",test,1,1,64,64,64,,,,,true,3.57628e-07,
chunk_fwd_h,"B=2, T=128, H=4, K=64, V=64, seed=5236",test,2,4,128,64,64,,,,,true,7.15256e-07,
chunk_fwd_h,"B=1, T=256, H=4, K=64, V=128, seed=1001",test,1,4,256,64,128,,,,,true,1.43051e-06,
chunk_fwd_h,"B=1, T=64, H=1, K=64, V=64, seed=31232",bench,1,1,64,64,64,,35.080,39.290,41.084,,,
chunk_fwd_h,"B=2, T=512, H=3, K=64, V=64, seed=4052",bench,2,3,512,64,64,,28.505,35.481,39.704,,,
chunk_fwd_h,"B=2, T=1024, H=3, K=64, V=64, seed=2146",bench,2,3,1024,64,64,,35.400,35.601,36.527,,,
chunk_fwd_o,"B=1, T=64, H=1, K=64, V=64, seed=4242",test,1,1,64,64,64,,,,,true,1.71661e-05,
chunk_fwd_o,"B=2, T=128, H=4, K=64, V=64, seed=5236",test,2,4,128,64,64,,,,,true,1.52588e-05,
chunk_fwd_o,"B=1, T=256, H=4, K=64, V=128, seed=1001",test,1,4,256,64,128,,,,,true,1.90735e-05,
chunk_fwd_o,"B=1, T=64, H=1, K=64, V=64, seed=31232",bench,1,1,64,64,64,,36.443,40.572,42.193,,,
chunk_fwd_o,"B=2, T=512, H=3, K=64, V=64, seed=4052",bench,2,3,512,64,64,,39.731,40.813,43.110,,,
chunk_fwd_o,"B=2, T=1024, H=3, K=64, V=64, seed=2146",bench,2,3,1024,64,64,,43.219,44.381,45.688,,,
recompute_w_u,"B=1, T=64, H=2, K=64, V=64, seed=4242",test,1,2,64,64,64,,,,,true,nan,
recompute_w_u,"B=2, T=128, H=4, K=64, V=64, seed=5236",test,2,4,128,64,64,,,,,true,nan,
recompute_w_u,"B=1, T=256, H=4, K=64, V=128, seed=1001",test,1,4,256,64,128,,,,,true,nan,
recompute_w_u,"B=1, T=64, H=1, K=64, V=64, seed=31232",bench,1,1,64,64,64,,34.880,37.445,38.378,,,
recompute_w_u,"B=2, T=512, H=3, K=64, V=64, seed=4052",bench,2,3,512,64,64,,40.813,43.058,44.473,,,
recompute_w_u,"B=2, T=1024, H=3, K=64, V=64, seed=2146",bench,2,3,1024,64,64,,36.163,41.374,42.396,,,
